#,file name,start,stop,species,replica,role,Ids,rol#,exit
1,20191218_A.MTS,"27:00,331","27:24,935",fasciculatus,1f,c,couple_2f,1,260
2,20191218_A.MTS,"27:32,672","27:48,788",fasciculatus,1f,c,couple_2f,2,300
51,20191218_B.MTS,"26:41,348","26:56,289",fasciculatus,3f,d,drager_4f,1,290
54,20191218_B.MTS,"27:41,465","27:57,007",fasciculatus,3f,d,drager_4f,4,290
57,20191218_B.MTS,"29:04,208","29:24,911",fasciculatus,3f,d,drager_4f,7,285
79,20191211_C.MTS,"21:33,221","22:00,763",fasciculatus,5f,c,couple_2a,1,240
81,20191211_C.MTS,"22:33,326","22:58,111",fasciculatus,5f,c,couple_2a,3,355
82,20191211_C.MTS,"23:04,410","23:25,563",fasciculatus,5f,c,couple_2a,4,340
83,20191211_C.MTS,"23:31,322","23:51,759",fasciculatus,5f,c,couple_2a,5,320
87,20191211_C.MTS,"25:30,511","25:49,061",fasciculatus,5f,c,couple_2a,9,300
97,20191211_D.MTS,"01:19,612","01:47,291",fasciculatus,5f,d,drager_2a,9,325
108,20191211_D.MTS,"09:27,373","09:50,618",fasciculatus,6f,d,drager_3a,1,270
110,20191211_D.MTS,"11:11,069","12:22,033",fasciculatus,6f,d,drager_3a,3,50
131,20191212_A.MTS,"09:20,097","10:12,213",fasciculatus,7f,d,drager_1b,4,260
133,20191212_A.MTS,"10:45,336","11:03,522",fasciculatus,7f,d,drager_1b,6,280
153,20191212_A.MTS,"12:32,363","23:57,867",fasciculatus,8f,d,drager_2b,6,320
187,20191212_B.MTS,"17:02,037","17:30,963",fasciculatus,10f,c,couple_4b,10,280
193,20191212_B.MTS,"21:23,299","21:54,909",fasciculatus,10f,d,drager_4b,6,295
196,20191212_B.MTS,"22:54,648","23:22,852",fasciculatus,10f,d,drager_4b,9,255
197,20191212_B.MTS,"23:30,928","24:34,871",fasciculatus,10f,d,drager_4b,10,295
225,20191212_E.MTS,"19:12,770","19:26,995",fasciculatus,12f,c,couple_7b,8,290
227,20191212_E.MTS,"20:03,885","20:26,406",fasciculatus,12f,d,drager_7b,1,280
228,20191212_E.MTS,"20:37,303","21:02,330",fasciculatus,12f,d,drager_7b,2,275
230,20191212_E.MTS,"21:36,355","21:56,344",fasciculatus,12f,d,drager_7b,4,285
231,20191212_E.MTS,"22:04,364","22:26,411",fasciculatus,12f,d,drager_7b,5,270
236,20191212_E.MTS,"24:48,102","25:23,750",fasciculatus,12f,d,drager_7b,10,260
238,20191212_F.MTS,"10:33,204","10:56,545",fasciculatus,13f,c,couple_8b,2,315
239,20191212_F.MTS,"11:05,593","11:28,462",fasciculatus,13f,c,couple_8b,3,310
240,20191212_F.MTS,"11:32,761","11:55,737",fasciculatus,13f,c,couple_8b,4,320
242,20191212_F.MTS,"12:30,397","12:49,754",fasciculatus,13f,c,couple_8b,6,310
244,20191212_F.MTS,"13:16,879","13:51,419",fasciculatus,13f,c,couple_8b,8,305
245,20191212_F.MTS,"13:53,629","14:15,360",fasciculatus,13f,c,couple_8b,9,335
246,20191212_F.MTS,"14:19,471","14:38,771",fasciculatus,13f,c,couple_8b,10,300
250,20191212_F.MTS,"16:19,695","16:41,923",fasciculatus,13f,d,drager_8b,4,330
251,20191212_F.MTS,"16:46,832","17:12,166",fasciculatus,13f,d,drager_8b,5,340
252,20191212_F.MTS,"17:24,010","18:02,544",fasciculatus,13f,d,drager_8b,6,315
254,20191212_F.MTS,"18:38,405","19:03,610",fasciculatus,13f,d,drager_8b,8,330
277,20191215_C.MTS,"00:13,756","00:35,809",fasciculatus,15f,c,couple_2m,1,300
279,20191215_C.MTS,"01:01,524","01:35,856",fasciculatus,15f,c,couple_2m,3,300
287,20191215_C.MTS,"08:54,932","09:48,084",fasciculatus,15f,d,drager_2m,1,285
300,20210705_A.MTS,"11:08,111","11:29,086",schaefferi,1s,c,couple_6,4,320
317,20210709_A.MTS,"02:41,641","03:03,248",schaefferi,2s,c,couple_7,1,235
318,20210709_A.MTS,"03:06,579","03:27,473",schaefferi,2s,c,couple_7,2,240
319,20210709_A.MTS,"03:31,515","03:51,957",schaefferi,2s,c,couple_7,3,210
320,20210709_A.MTS,"03:56,990","04:14,375",schaefferi,2s,c,couple_7,4,210
321,20210709_A.MTS,"04:18,325","04:35,438",schaefferi,2s,c,couple_7,5,190
322,20210709_A.MTS,"04:38,475","04:54,075",schaefferi,2s,c,couple_7,6,200
323,20210709_A.MTS,"04:56,765","5:15,229",schaefferi,2s,c,couple_7,7,200
324,20210709_A.MTS,"05:18,010","05:35,124",schaefferi,2s,c,couple_7,8,205
325,20210709_A.MTS,"05:37,615","05:53,490",schaefferi,2s,c,couple_7,9,205
326,20210709_A.MTS,"05:54,010","06:16,577",schaefferi,2s,c,couple_7,10,205
327,20210709_A.MTS,"06:25,868","06:46,692",schaefferi,2s,d,drager_7,1,200
328,20210709_A.MTS,"06:49,562","07:10,364",schaefferi,2s,d,drager_7,2,220
329,20210709_A.MTS,"07:12,101","07:32,330",schaefferi,2s,d,drager_7,3,215
330,20210709_A.MTS,"07:36,101","08:11,225",schaefferi,2s,d,drager_7,4,195
331,20210709_A.MTS,"08:14,907","08:32,717",schaefferi,2s,d,drager_7,5,210
332,20210709_A.MTS,"08:35,978","09:02,363",schaefferi,2s,d,drager_7,6,205
333,20210709_A.MTS,"09:07,125","09:36,391",schaefferi,2s,d,drager_7,7,220
334,20210709_A.MTS,"09:38,813","10:06,185",schaefferi,2s,d,drager_7,8,245
335,20210709_A.MTS,"10:09,005","10:29,410",schaefferi,2s,d,drager_7,9,190
336,20210709_A.MTS,"10:31,471","10:57,767",schaefferi,2s,d,drager_7,10,185
337,20210709_A.MTS,"12:35,604","12:59,469",schaefferi,3s,c,couple_8,1,120
338,20210709_A.MTS,"13:02,161","13:19,723",schaefferi,3s,c,couple_8,2,120
339,20210709_A.MTS,"13:24,705","13:46,007",schaefferi,3s,c,couple_8,3,160
340,20210709_A.MTS,"13:51,217","14:08,152",schaefferi,3s,c,couple_8,4,150
341,20210709_A.MTS,"14:11,112","14:29,036",schaefferi,3s,c,couple_8,5,160
342,20210709_A.MTS,"14:32,432","14:48,481",schaefferi,3s,c,couple_8,6,150
343,20210709_A.MTS,"14:56,571","15:11,794",schaefferi,3s,c,couple_8,7,165
344,20210709_A.MTS,"15:14,021","15:30,336",schaefferi,3s,c,couple_8,8,150
345,20210709_A.MTS,"15:32,666","15:49,148",schaefferi,3s,c,couple_8,9,170
346,20210709_A.MTS,"15:52,199","16:08,684",schaefferi,3s,c,couple_8,10,150
347,20210709_A.MTS,"16:19,567","16:40,372",schaefferi,3s,d,drager_8,1,170
348,20210709_A.MTS,"16:42,794","17:04,033",schaefferi,3s,d,drager_8,2,185
349,20210709_A.MTS,"17:07,640","17:30,874",schaefferi,3s,d,drager_8,3,200
350,20210709_A.MTS,"17:34,466","17:58,963",schaefferi,3s,d,drager_8,4,185
351,20210709_A.MTS,"18:03,634","18:32,721",schaefferi,3s,d,drager_8,5,180
352,20210709_A.MTS,"18:38,033","18:57,658",schaefferi,3s,d,drager_8,6,190
353,20210709_A.MTS,"19:01,977","19:23,043",schaefferi,3s,d,drager_8,7,190
354,20210709_A.MTS,"19:26,103","19:45,906",schaefferi,3s,d,drager_8,8,205
355,20210709_A.MTS,"19:50,407","20:17,506",schaefferi,3s,d,drager_8,9,200
356,20210709_A.MTS,"20:21,003","20:44,695",schaefferi,3s,d,drager_8,10,235
357,20210710_A.MTS,"01:34,045","02:59,387",schaefferi,4s,c,couple_12,1,275
358,20210710_A.MTS,"03:06,140","03:33,593",schaefferi,4s,c,couple_12,2,260
359,20210710_A.MTS,"03:37,827","03:59,342",schaefferi,4s,c,couple_12,3,275
360,20210710_A.MTS,"04:02,853","04:28,598",schaefferi,4s,c,couple_12,4,265
361,20210710_A.MTS,"04:32,020","04:55,878",schaefferi,4s,c,couple_12,5,270
362,20210710_A.MTS,"04:59,659","05:23,064",schaefferi,4s,c,couple_12,6,300
363,20210710_A.MTS,"05:26,487","05:47,639",schaefferi,4s,c,couple_12,7,270
364,20210710_A.MTS,"05:51,596","06:12,036",schaefferi,4s,c,couple_12,8,295
365,20210710_A.MTS,"06:14,567","06:41,559",schaefferi,4s,c,couple_12,9,300
366,20210710_A.MTS,"06:46,559","07:15,767",schaefferi,4s,c,couple_12,10,320
367,20210710_A.MTS,"07:22,791","07:50,424",schaefferi,4s,d,drager_12,1,295
368,20210710_A.MTS,"07:57,898","08:19,053",schaefferi,4s,d,drager_12,2,340
372,20210710_A.MTS,"09:57,717","10:20,761",schaefferi,4s,d,drager_12,6,325
373,20210710_A.MTS,"10:25,530","10:55,775",schaefferi,4s,d,drager_12,7,330
376,20210710_A.MTS,"11:50,420","12:15,175",schaefferi,4s,d,drager_12,10,355
377,20210710_A.MTS,"14:17,958","14:55,538",schaefferi,5s,c,couple_13,1,150
378,20210710_A.MTS,"15:00,556","15:28,174",schaefferi,5s,c,couple_13,2,145
379,20210710_A.MTS,"15:38,978","16:08,136",schaefferi,5s,c,couple_13,3,155
380,20210710_A.MTS,"16:14,449","16:36,678",schaefferi,5s,c,couple_13,4,130
381,20210710_A.MTS,"16:42,266","17:01,078",schaefferi,5s,c,couple_13,5,120
382,20210710_A.MTS,"17:06,568","17:27,813",schaefferi,5s,c,couple_13,6,120
383,20210710_A.MTS,"17:34,023","18:00,311",schaefferi,5s,c,couple_13,7,110
384,20210710_A.MTS,"18:06,159","18:30,737",schaefferi,5s,c,couple_13,8,130
385,20210710_A.MTS,"18:35,421","19:00,806",schaefferi,5s,c,couple_13,9,145
