file,start,stop,species,couple ID,with female,exit azimuth,IDs,calibration_ID,rownumber,dropoffx,dropoffy
20191218_B.MTS,27:41.0,27:57.0,fasciculatus,3f,FALSE,290,drager_4f,20191218_A.MTS,54,,
20191211_D.MTS,11:12.0,12:22.0,fasciculatus,6f,FALSE,50,drager_3a,20191211_E.MTS,110,,
20191212_B.MTS,23:32.0,24:34.9,fasciculatus,10f,FALSE,295,drager_4b,20191212_C.MTS,197,,
20210710_A.MTS,19:36.0,19:56.5,schaefferi,5s,FALSE,135,drager_13,20210710_A.MTS,387,,
20210710_A.MTS,22:34.0,23:16.6,schaefferi,5s,FALSE,200,drager_13,20210710_A.MTS,388,,
20210710_B.MTS,09:50.0,10:12.0,schaefferi,6s,FALSE,235,drager_14,20210710_B.MTS,408,,
20210710_B.MTS,18:05.0,18:29.0,schaefferi,7s,TRUE,190,couple_15,20210710_B.MTS,423,,
20210710_B.MTS,18:34.0,18:58.0,schaefferi,7s,TRUE,160,couple_15,20210710_B.MTS,424,,
20210710_B.MTS,19:04.0,19:27.0,schaefferi,7s,TRUE,155,couple_15,20210710_B.MTS,425,,
20210710_B.MTS,19:32.0,17:54.0,schaefferi,7s,TRUE,170,couple_15,20210710_B.MTS,426,,
20210710_B.MTS,20:01.0,20:21.0,schaefferi,7s,FALSE,160,drager_15,20210710_B.MTS,427,,
20210710_C.MTS,05:00.0,05:58.0,schaefferi,8s,TRUE,255,couple_16,20210710_C.MTS,437,,
20210704_A.MTS,10:18.0,10:48.0,schaefferi,13s,FALSE,200,drager_1,20210704_A.MTS,553,,
20210704_A.MTS,10:53.0,10:22.0,schaefferi,13s,FALSE,185,drager_1,20210704_A.MTS,554,,
20210704_C.MTS,00:28.0,01:50.3,schaefferi,14s,FALSE,170,drager_4,20210704_A.MTS,567,,
