file,start,stop,species,couple ID,with female,exit azimuth,IDs,calibration_ID,rownumber,dropoffx,dropoffy
20191218_A.MTS,00:26:56.331,00:27:24.935,fasciculatus,1f,true,260,couple_2f,20191218_A.MTS,1,,
20191218_A.MTS,00:27:31.672,00:27:48.788,fasciculatus,1f,true,300,couple_2f,20191218_A.MTS,2,,
20191218_A.MTS,00:27:54.819,00:28:11.292,fasciculatus,1f,true,280,couple_2f,20191218_A.MTS,3,,
20191218_A.MTS,00:28:15.616,00:28:37.128,fasciculatus,1f,true,265,couple_2f,20191218_A.MTS,4,,
20191218_A.MTS,00:28:44.598,00:29:03.683,fasciculatus,1f,true,285,couple_2f,20191218_A.MTS,5,,
20191218_A.MTS,00:29:10.068,00:29:25.003,fasciculatus,1f,true,270,couple_2f,20191218_A.MTS,6,,
20191218_A.MTS,00:29:31.596,00:29:46.855,fasciculatus,1f,true,280,couple_2f,20191218_A.MTS,7,,
20191218_B.MTS,00:00:01.012,00:00:16.728,fasciculatus,1f,true,295,couple_2f,20191218_A.MTS,8,,
20191218_B.MTS,00:00:22.668,00:00:33.013,fasciculatus,1f,true,280,couple_2f,20191218_A.MTS,9,,
20191218_B.MTS,00:00:40.498,00:01:00.032,fasciculatus,1f,true,270,couple_2f,20191218_A.MTS,10,,
20191218_B.MTS,00:01:30.165,00:01:41.079,fasciculatus,1f,false,280,drager_2f,20191218_A.MTS,11,,
20191218_B.MTS,00:01:45.936,00:01:57.631,fasciculatus,1f,false,300,drager_2f,20191218_A.MTS,12,,
20191218_B.MTS,00:02:01.691,00:02:12.042,fasciculatus,1f,false,285,drager_2f,20191218_A.MTS,13,,
20191218_B.MTS,00:02:20.415,00:02:31.308,fasciculatus,1f,false,275,drager_2f,20191218_A.MTS,14,,
20191218_B.MTS,00:02:36.002,00:02:47.331,fasciculatus,1f,false,280,drager_2f,20191218_A.MTS,15,,
